,L,alpha,beta,final_F,final_buffer,final_n_inputs_attempted,final_n_inputs_needed,init_F,init_buffer,init_n_inputs_attempted,init_n_inputs_needed,max_F,mean_F,min_F,n_agents,n_steps,r,std_F,xi
63,1,0.15,0.4,0.8170000000000001,1,3,2,0.7,1,2,1,0.933,0.79453405,0.223,1000,200000,2000,0.16064241603822293,1
64,1,0.15,0.4,0.857,1,3,2,0.7,1,2,1,0.8759999999999999,0.8437768650000003,0.6990000000000001,1000,200000,1,0.016146481838833344,0
65,1,0.15,0.4,0.904,1,4,3,0.7,1,2,1,0.932,0.8245251749999999,0.226,1000,200000,2000,0.12734310635530835,1
66,1,0.15,0.4,0.857,1,3,2,0.7,1,2,1,0.875,0.8445805699999999,0.698,1000,200000,1,0.015057699640884728,0
67,1,0.15,0.4,0.907,1,4,3,0.7,1,2,1,0.926,0.7834634549999999,0.184,1000,200000,2000,0.15791882998699988,1
68,1,0.15,0.4,0.8590000000000001,1,4,3,0.7,1,2,1,0.879,0.8476173850000001,0.696,1000,200000,1,0.012774061639188029,0
69,1,0.15,0.4,0.8959999999999999,1,4,3,0.7,1,2,1,0.929,0.80140134,0.257,1000,200000,2000,0.14472298592899607,1
70,1,0.15,0.4,0.8590000000000001,1,4,3,0.7,1,2,1,0.879,0.8436699499999998,0.7,1000,200000,1,0.01789993259756863,0
71,1,0.15,0.4,0.907,1,4,3,0.7,1,2,1,0.93,0.8006377200000001,0.243,1000,200000,2000,0.14017070386925226,1
72,1,0.15,0.4,0.85,1,3,2,0.7,1,2,1,0.873,0.844243505,0.698,1000,200000,1,0.017954099540633463,0
73,1,0.15,0.4,0.894,1,4,3,0.7,1,2,1,0.929,0.7811979649999997,0.231,1000,200000,2000,0.15965660573511756,1
74,1,0.15,0.4,0.86,1,4,3,0.7,1,2,1,0.8759999999999999,0.845605085,0.7,1000,200000,1,0.017007444462433942,0
75,1,0.15,0.4,0.8759999999999999,1,4,3,0.7,1,2,1,0.932,0.7668980749999998,0.215,1000,200000,2000,0.15272956359622838,1
76,1,0.15,0.4,0.845,1,3,2,0.7,1,2,1,0.8759999999999999,0.8404443400000001,0.7,1000,200000,1,0.022271392681294085,0
77,1,0.15,0.4,0.848,1,3,2,0.7,1,2,1,0.925,0.7884636699999998,0.249,1000,200000,2000,0.1540996104476942,1
78,1,0.15,0.4,0.851,1,3,2,0.7,1,2,1,0.8740000000000001,0.8428884249999998,0.6990000000000001,1000,200000,1,0.016286038991092187,0
79,1,0.15,0.4,0.852,1,3,2,0.7,1,2,1,0.93,0.7978776350000002,0.241,1000,200000,2000,0.14331781240239042,1
80,1,0.15,0.4,0.838,1,3,2,0.7,1,2,1,0.877,0.84261411,0.698,1000,200000,1,0.01639610468702551,0
81,1,0.15,0.4,0.711,2,4,2,0.7,1,2,1,0.934,0.8076034899999999,0.254,1000,200000,2000,0.1381699227032421,1
82,1,0.15,0.4,0.8290000000000001,1,3,2,0.7,1,2,1,0.878,0.8432298899999998,0.698,1000,200000,1,0.016963751371318198,0
83,1,0.15,0.4,0.504,1,2,1,0.7,1,2,1,0.937,0.80471419,0.229,1000,200000,2000,0.14710331434962265,1
84,1,0.15,0.4,0.848,1,3,2,0.7,1,2,1,0.875,0.8426296000000002,0.6970000000000001,1000,200000,1,0.018071974541814737,0
85,1,0.15,0.4,0.908,1,4,3,0.7,1,2,1,0.929,0.7706460700000001,0.28600000000000003,1000,200000,2000,0.13483740239100986,1
86,1,0.15,0.4,0.809,1,3,2,0.7,1,2,1,0.885,0.84213905,0.7,1000,200000,1,0.017390898340726966,0
87,1,0.15,0.4,0.625,1,2,1,0.7,1,2,1,0.941,0.8196016599999998,0.226,1000,200000,2000,0.15142405761715805,1
88,1,0.15,0.4,0.8270000000000001,1,3,2,0.7,1,2,1,0.8759999999999999,0.8434834849999999,0.6990000000000001,1000,200000,1,0.015946949151946745,0
89,1,0.15,0.4,0.8320000000000001,1,3,2,0.7,1,2,1,0.93,0.7817875450000001,0.227,1000,200000,2000,0.15828885370699028,1
90,1,0.15,0.4,0.848,1,3,2,0.7,1,2,1,0.8859999999999999,0.8389374449999999,0.7,1000,200000,1,0.019297348830136608,0
91,1,0.15,0.4,0.884,1,4,3,0.7,1,2,1,0.927,0.776664715,0.248,1000,200000,2000,0.15822319804304544,1
92,1,0.15,0.4,0.858,1,4,3,0.7,1,2,1,0.884,0.8449457,0.6990000000000001,1000,200000,1,0.015491161722414496,0
93,1,0.15,0.4,0.857,1,3,2,0.7,1,2,1,0.933,0.7914941000000002,0.228,1000,200000,2000,0.14903883713713684,1
94,1,0.15,0.4,0.8440000000000001,1,3,2,0.7,1,2,1,0.877,0.843431385,0.6990000000000001,1000,200000,1,0.01811381550037912,0
95,1,0.15,0.4,0.912,1,4,3,0.7,1,2,1,0.937,0.8109009950000001,0.232,1000,200000,2000,0.16426112882544666,1
96,1,0.15,0.4,0.857,1,3,2,0.7,1,2,1,0.879,0.84457876,0.7,1000,200000,1,0.016832980332145583,0
97,1,0.15,0.4,0.923,1,5,4,0.7,1,2,1,0.936,0.800374775,0.253,1000,200000,2000,0.152994521106801,1
98,1,0.15,0.4,0.852,1,3,2,0.7,1,2,1,0.879,0.8399432999999997,0.698,1000,200000,1,0.0208440011780368,0
99,1,0.15,0.4,0.8240000000000001,1,3,2,0.7,1,2,1,0.939,0.7989351100000002,0.236,1000,200000,2000,0.1520733789632094,1
100,1,0.15,0.4,0.831,1,3,2,0.7,1,2,1,0.877,0.8437234649999998,0.698,1000,200000,1,0.0175038042548977,0
101,1,0.15,0.4,0.877,1,4,3,0.7,1,2,1,0.934,0.8120398050000001,0.272,1000,200000,2000,0.13375068560782025,1
102,1,0.15,0.4,0.857,1,3,2,0.7,1,2,1,0.8740000000000001,0.8435578150000002,0.7,1000,200000,1,0.015471651089194556,0
103,1,0.15,0.4,0.591,1,2,1,0.7,1,2,1,0.937,0.8235146349999997,0.251,1000,200000,2000,0.12806268186250347,1
104,1,0.15,0.4,0.8490000000000001,1,3,2,0.7,1,2,1,0.879,0.8456480150000002,0.701,1000,200000,1,0.016035964628290218,0
105,1,0.15,0.4,0.7859999999999999,1,3,2,0.7,1,2,1,0.931,0.7838606550000001,0.232,1000,200000,2000,0.16016666484624995,1
106,1,0.15,0.4,0.8540000000000001,1,3,2,0.7,1,2,1,0.883,0.8431400600000001,0.698,1000,200000,1,0.018644897779188808,0
107,1,0.15,0.4,0.8240000000000001,1,3,2,0.7,1,2,1,0.93,0.7876924700000002,0.271,1000,200000,2000,0.15724588050343036,1
108,1,0.15,0.4,0.85,1,3,2,0.7,1,2,1,0.875,0.8416788549999997,0.6990000000000001,1000,200000,1,0.018880243930865268,0
109,1,0.15,0.4,0.768,1,3,2,0.7,1,2,1,0.933,0.786944785,0.218,1000,200000,2000,0.15227884484163834,1
110,1,0.15,0.4,0.838,1,3,2,0.7,1,2,1,0.879,0.8442358999999999,0.7,1000,200000,1,0.014587077883866944,0
111,1,0.15,0.4,0.68,1,2,1,0.7,1,2,1,0.934,0.79230498,0.22,1000,200000,2000,0.15334672662694696,1
112,1,0.15,0.4,0.8390000000000001,1,3,2,0.7,1,2,1,0.887,0.8440670499999997,0.6990000000000001,1000,200000,1,0.015618922955745063,0
113,1,0.15,0.4,0.708,2,4,2,0.7,1,2,1,0.932,0.796481195,0.309,1000,200000,2000,0.1416559390790657,1
114,1,0.15,0.4,0.851,1,3,2,0.7,1,2,1,0.8740000000000001,0.8386585900000001,0.701,1000,200000,1,0.0179462664421294,0
115,1,0.15,0.4,0.909,1,4,3,0.7,1,2,1,0.933,0.8125594,0.255,1000,200000,2000,0.14575974859898738,1
116,1,0.15,0.4,0.861,1,4,3,0.7,1,2,1,0.8759999999999999,0.8433530250000001,0.701,1000,200000,1,0.015169698360526984,0
117,1,0.15,0.4,0.902,1,4,3,0.7,1,2,1,0.929,0.7834895749999999,0.239,1000,200000,2000,0.15803563557413047,1
118,1,0.15,0.4,0.848,1,3,2,0.7,1,2,1,0.877,0.842327875,0.7,1000,200000,1,0.018334080641918608,0
119,1,0.15,0.4,0.7340000000000001,2,4,2,0.7,1,2,1,0.937,0.7929699100000003,0.274,1000,200000,2000,0.14554035826736136,1
120,1,0.15,0.4,0.845,1,3,2,0.7,1,2,1,0.879,0.8461067700000001,0.7,1000,200000,1,0.014294262491192053,0
121,1,0.15,0.4,0.858,1,4,3,0.7,1,2,1,0.932,0.8064369350000001,0.25,1000,200000,2000,0.14387358392980198,1
122,1,0.15,0.4,0.85,1,3,2,0.7,1,2,1,0.8759999999999999,0.8425667049999997,0.701,1000,200000,1,0.017321871736131027,0
123,1,0.15,0.4,0.765,1,3,2,0.7,1,2,1,0.936,0.818537915,0.236,1000,200000,2000,0.14779932639377208,1
124,1,0.15,0.4,0.861,1,4,3,0.7,1,2,1,0.887,0.844642715,0.7,1000,200000,1,0.016056837871410892,0
125,1,0.15,0.4,0.911,1,4,3,0.7,1,2,1,0.929,0.8007019800000001,0.269,1000,200000,2000,0.1409078511796969,1
126,1,0.15,0.4,0.852,1,3,2,0.7,1,2,1,0.877,0.8435852549999999,0.7,1000,200000,1,0.0166749402273284,0
127,1,0.15,0.4,0.909,1,4,3,0.7,1,2,1,0.931,0.79567048,0.26,1000,200000,2000,0.14209972972025528,1
128,1,0.15,0.4,0.862,1,4,3,0.7,1,2,1,0.875,0.8426208000000001,0.7,1000,200000,1,0.02102422620121844,0
129,1,0.15,0.4,0.885,1,4,3,0.7,1,2,1,0.937,0.7935093600000003,0.218,1000,200000,2000,0.15668955987043426,1
130,1,0.15,0.4,0.857,1,3,2,0.7,1,2,1,0.878,0.8445486149999999,0.7,1000,200000,1,0.014114810540059513,0
131,1,0.15,0.4,0.5660000000000001,1,2,1,0.7,1,2,1,0.943,0.8315058700000001,0.229,1000,200000,2000,0.153918397781237,1
132,1,0.15,0.4,0.85,1,3,2,0.7,1,2,1,0.883,0.8447942799999999,0.701,1000,200000,1,0.015729729472613318,0
133,1,0.15,0.4,0.237,1,2,1,0.7,1,2,1,0.93,0.7842765850000001,0.237,1000,200000,2000,0.16249566703680984,1
134,1,0.15,0.4,0.856,1,3,2,0.7,1,2,1,0.873,0.8434297049999998,0.7,1000,200000,1,0.017133423727118142,0
135,1,0.15,0.4,0.557,1,2,1,0.7,1,2,1,0.935,0.81220281,0.235,1000,200000,2000,0.1498238394852565,1
136,1,0.15,0.4,0.846,1,3,2,0.7,1,2,1,0.875,0.8460580350000001,0.6940000000000001,1000,200000,1,0.015391211678707271,0
137,1,0.15,0.4,0.884,1,4,3,0.7,1,2,1,0.931,0.799520895,0.248,1000,200000,2000,0.15246372363089844,1
138,1,0.15,0.4,0.8170000000000001,1,3,2,0.7,1,2,1,0.8740000000000001,0.8446352049999999,0.7,1000,200000,1,0.016366454399410247,0
139,1,0.15,0.4,0.879,1,4,3,0.7,1,2,1,0.929,0.7791287349999999,0.228,1000,200000,2000,0.1548593959768014,1
140,1,0.15,0.4,0.855,1,3,2,0.7,1,2,1,0.8859999999999999,0.8438233099999998,0.6940000000000001,1000,200000,1,0.0205723025119674,0
141,1,0.15,0.4,0.525,1,2,1,0.7,1,2,1,0.937,0.7865272950000002,0.277,1000,200000,2000,0.14538291937151002,1
142,1,0.15,0.4,0.845,1,3,2,0.7,1,2,1,0.875,0.8440103649999999,0.7,1000,200000,1,0.015387877292426497,0
143,1,0.15,0.4,0.748,1,3,2,0.7,1,2,1,0.94,0.799489285,0.259,1000,200000,2000,0.1557268868409973,1
144,1,0.15,0.4,0.85,1,3,2,0.7,1,2,1,0.875,0.8430659149999999,0.7,1000,200000,1,0.015780535168769625,0
145,1,0.15,0.4,0.887,1,4,3,0.7,1,2,1,0.936,0.7875853499999999,0.246,1000,200000,2000,0.15119889343304568,1
146,1,0.15,0.4,0.847,1,3,2,0.7,1,2,1,0.8740000000000001,0.8431185550000001,0.7,1000,200000,1,0.016558262581320992,0
147,1,0.15,0.4,0.369,1,2,1,0.7,1,2,1,0.939,0.84178676,0.249,1000,200000,2000,0.12579451605178346,1
148,1,0.15,0.4,0.833,1,3,2,0.7,1,2,1,0.882,0.8454051349999999,0.701,1000,200000,1,0.014858047335763031,0
149,1,0.15,0.4,0.8370000000000001,1,3,2,0.7,1,2,1,0.935,0.794233015,0.266,1000,200000,2000,0.15791294136013606,1
150,1,0.15,0.4,0.848,1,3,2,0.7,1,2,1,0.875,0.842214085,0.7,1000,200000,1,0.016759821974375953,0
151,1,0.15,0.4,0.862,1,4,3,0.7,1,2,1,0.936,0.8159822250000002,0.225,1000,200000,2000,0.13450797195352168,1
152,1,0.15,0.4,0.841,1,3,2,0.7,1,2,1,0.8759999999999999,0.8445229449999999,0.7,1000,200000,1,0.014132757109883941,0
153,1,0.15,0.4,0.458,1,2,1,0.7,1,2,1,0.933,0.7843387399999999,0.245,1000,200000,2000,0.15405411544393224,1
154,1,0.15,0.4,0.858,1,4,3,0.7,1,2,1,0.873,0.8411846650000001,0.698,1000,200000,1,0.017679084360842194,0
155,1,0.15,0.4,0.904,1,4,3,0.7,1,2,1,0.929,0.7939462499999999,0.297,1000,200000,2000,0.1400049310236518,1
156,1,0.15,0.4,0.8440000000000001,1,3,2,0.7,1,2,1,0.879,0.844064405,0.7,1000,200000,1,0.018184999230024042,0
157,1,0.15,0.4,0.78,1,3,2,0.7,1,2,1,0.929,0.7885590949999998,0.282,1000,200000,2000,0.14316997435838624,1
158,1,0.15,0.4,0.831,1,3,2,0.7,1,2,1,0.8740000000000001,0.8441551749999999,0.6940000000000001,1000,200000,1,0.017169781760971076,0
159,1,0.15,0.4,0.8959999999999999,1,4,3,0.7,1,2,1,0.932,0.8180849,0.244,1000,200000,2000,0.1447298183581739,1
160,1,0.15,0.4,0.8420000000000001,1,3,2,0.7,1,2,1,0.88,0.842529255,0.6990000000000001,1000,200000,1,0.017655178394595024,0
161,1,0.15,0.4,0.922,1,4,3,0.7,1,2,1,0.936,0.8124372950000001,0.229,1000,200000,2000,0.13426800884083662,1
162,1,0.15,0.4,0.855,1,3,2,0.7,1,2,1,0.877,0.8449160699999998,0.695,1000,200000,1,0.01675396686624096,0
163,1,0.15,0.4,0.889,1,4,3,0.7,1,2,1,0.928,0.815747185,0.277,1000,200000,2000,0.13987056201923184,1
164,1,0.15,0.4,0.852,1,3,2,0.7,1,2,1,0.877,0.8435174449999998,0.7,1000,200000,1,0.018618210055533668,0
165,1,0.15,0.4,0.8959999999999999,1,4,3,0.7,1,2,1,0.94,0.8449920999999999,0.278,1000,200000,2000,0.12256437442254582,1
166,1,0.15,0.4,0.833,1,3,2,0.7,1,2,1,0.878,0.8431089849999996,0.7,1000,200000,1,0.016960241957878285,0
167,1,0.15,0.4,0.902,1,4,3,0.7,1,2,1,0.94,0.7942607299999999,0.228,1000,200000,2000,0.14176948821896446,1
168,1,0.15,0.4,0.857,1,3,2,0.7,1,2,1,0.878,0.8431633049999999,0.6990000000000001,1000,200000,1,0.01827767617825021,0
169,1,0.15,0.4,0.759,1,3,2,0.7,1,2,1,0.935,0.8204346600000002,0.222,1000,200000,2000,0.1496525279461874,1
170,1,0.15,0.4,0.847,1,3,2,0.7,1,2,1,0.883,0.8427299049999999,0.6990000000000001,1000,200000,1,0.017494754747951594,0
171,1,0.15,0.4,0.259,1,2,1,0.7,1,2,1,0.928,0.7920066549999998,0.259,1000,200000,2000,0.14012557889518593,1
172,1,0.15,0.4,0.856,1,3,2,0.7,1,2,1,0.875,0.8420893399999999,0.7,1000,200000,1,0.019405348962706133,0
173,1,0.15,0.4,0.889,1,4,3,0.7,1,2,1,0.935,0.7866056699999999,0.257,1000,200000,2000,0.1600516991282851,1
174,1,0.15,0.4,0.843,1,3,2,0.7,1,2,1,0.8740000000000001,0.8425387599999999,0.6970000000000001,1000,200000,1,0.01650214221434296,0
